0,"[[199.9593505859375, 340.0246276855469, 283.3414306640625, 358.6127624511719], [176.11288452148438, 339.9076843261719, 253.40283203125, 358.5517272949219]]"
1,"[[182.76348876953125, 577.3322143554688, 1161.731689453125, 716.2522583007812]]"
2,"[[1229.4974365234375, 363.3591613769531, 1279.3131103515625, 392.1305236816406], [1205.0836181640625, 366.0729064941406, 1256.6041259765625, 395.2345886230469], [1194.087158203125, 368.7982177734375, 1242.468505859375, 398.45147705078125], [1177.4306640625, 372.22833251953125, 1224.3115234375, 399.34967041015625], [1160.0155029296875, 372.23974609375, 1207.5369873046875, 398.67291259765625]]"
3,"[[1127.92333984375, 368.21630859375, 1173.363037109375, 394.50604248046875], [1107.9912109375, 365.2031555175781, 1152.336669921875, 390.6573791503906], [1099.3128662109375, 361.69207763671875, 1140.4337158203125, 387.70611572265625], [1084.830078125, 359.1490478515625, 1125.235107421875, 385.5223388671875], [1069.59814453125, 359.4106140136719, 1109.220703125, 385.2259826660156]]"
4,"[[1040.935302734375, 350.5887451171875, 1080.327880859375, 376.4693603515625], [1029.9375, 347.71966552734375, 1068.362060546875, 372.49810791015625], [1016.4791870117188, 342.04742431640625, 1053.3966064453125, 366.8511962890625], [1002.5695190429688, 341.9715270996094, 1039.1405029296875, 366.4240417480469], [989.2134399414062, 341.04010009765625, 1024.6617431640625, 365.57275390625], [974.4459838867188, 336.73565673828125, 1009.5265502929688, 361.3680419921875], [959.9959716796875, 334.970458984375, 995.4376220703125, 359.4375]]"
5,"[[1237.73388671875, 128.9564208984375, 1279.3505859375, 375.01983642578125]]"
6,"[[1241.212890625, 368.3063049316406, 1279.1279296875, 414.7914123535156], [1237.0989990234375, 363.5292663574219, 1279.7464599609375, 443.2644958496094], [1228.0416259765625, 363.42059326171875, 1279.8475341796875, 448.49798583984375], [1215.3779296875, 361.4788818359375, 1278.692626953125, 404.99786376953125], [1212.0487060546875, 360.587158203125, 1279.4713134765625, 453.08868408203125], [1197.0535888671875, 352.5062561035156, 1279.7049560546875, 451.9428405761719], [1193.012451171875, 350.06494140625, 1279.610595703125, 447.7730712890625], [1183.9766845703125, 351.07098388671875, 1279.7227783203125, 451.66473388671875], [1177.711669921875, 353.1687927246094, 1278.891357421875, 454.6166687011719], [1162.8912353515625, 352.2577819824219, 1278.9559326171875, 458.9927673339844], [1157.5703125, 352.3922119140625, 1279.253173828125, 458.180419921875], [1138.899658203125, 352.2123107910156, 1277.2880859375, 427.5091857910156], [1132.509765625, 352.1321105957031, 1277.42138671875, 428.6081848144531], [1182.2188720703125, 362.9560546875, 1280.0, 466.69970703125], [1167.865966796875, 357.427490234375, 1279.98046875, 469.3426513671875], [1125.141845703125, 351.0990295410156, 1277.363037109375, 419.7707824707031], [1164.3621826171875, 357.3800354003906, 1279.4818115234375, 467.7187194824219], [1122.61962890625, 348.3238525390625, 1277.81787109375, 420.86224365234375], [1159.9940185546875, 357.3381042480469, 1279.4324951171875, 466.7342834472656], [1106.549072265625, 346.60662841796875, 1278.277099609375, 427.9566650390625], [1103.8824462890625, 351.9575500488281, 1167.1395263671875, 413.2944030761719], [1100.501953125, 346.2147521972656, 1275.78857421875, 420.9421691894531]]"
7,"[[90.77265167236328, 307.31207275390625, 110.97814178466797, 360.926513671875]]"
8,"[[195.6458740234375, 656.591796875, 1054.7650146484375, 718.9765625]]"
9,"[[1047.33203125, 297.7166748046875, 1071.02197265625, 364.19256591796875], [1033.8426513671875, 293.1106262207031, 1056.4388427734375, 359.7745666503906], [1021.659423828125, 285.5032043457031, 1046.401123046875, 359.2118835449219]]"
