0,"[[0.9244698882102966, 259.56170654296875, 132.26646423339844, 313.567626953125], [0.9244698882102966, 259.56170654296875, 132.26646423339844, 313.567626953125], [0.9244698882102966, 259.56170654296875, 132.26646423339844, 313.567626953125]]"
1,"[[0.0, 258.55877685546875, 78.05345153808594, 325.125244140625], [0.0, 258.55877685546875, 78.05345153808594, 325.125244140625], [0.0, 258.55877685546875, 78.05345153808594, 325.125244140625]]"
2,"[[1.2599965333938599, 262.6434326171875, 210.94139099121094, 318.0320739746094], [1.2599965333938599, 262.6434326171875, 210.94139099121094, 318.0320739746094], [1.2599965333938599, 262.6434326171875, 210.94139099121094, 318.0320739746094], [0.6983355283737183, 249.42921447753906, 188.29534912109375, 317.8042907714844], [0.6983355283737183, 249.42921447753906, 188.29534912109375, 317.8042907714844], [0.6983355283737183, 249.42921447753906, 188.29534912109375, 317.8042907714844]]"
3,"[[404.04876708984375, 162.2797393798828, 420.86328125, 211.2846221923828], [404.04876708984375, 162.2797393798828, 420.86328125, 211.2846221923828], [404.04876708984375, 162.2797393798828, 420.86328125, 211.2846221923828], [390.50726318359375, 158.42343139648438, 407.3013916015625, 207.1741180419922], [390.50726318359375, 158.42343139648438, 407.3013916015625, 207.1741180419922], [390.50726318359375, 158.42343139648438, 407.3013916015625, 207.1741180419922]]"
4,"[[1.204702377319336, 265.85699462890625, 133.02279663085938, 323.8462829589844], [1.204702377319336, 265.85699462890625, 133.02279663085938, 323.8462829589844], [0.6227103471755981, 266.1377868652344, 115.71318817138672, 326.39501953125], [0.6227103471755981, 266.1377868652344, 115.71318817138672, 326.39501953125], [0.6227103471755981, 266.1377868652344, 115.71318817138672, 326.39501953125]]"
5,"[[909.3318481445312, 262.5645751953125, 940.715576171875, 284.33367919921875], [909.3318481445312, 262.5645751953125, 940.715576171875, 284.33367919921875], [909.3318481445312, 262.5645751953125, 940.715576171875, 284.33367919921875], [909.3318481445312, 262.5645751953125, 940.715576171875, 284.33367919921875]]"
6,"[[883.1654052734375, 266.6562194824219, 919.376708984375, 287.6607971191406], [883.1654052734375, 266.6562194824219, 919.376708984375, 287.6607971191406], [883.1654052734375, 266.6562194824219, 919.376708984375, 287.6607971191406], [871.0694580078125, 267.8135070800781, 903.6286010742188, 287.8651123046875], [871.0694580078125, 267.8135070800781, 903.6286010742188, 287.8651123046875], [858.5449829101562, 268.3354187011719, 891.9022216796875, 288.3023681640625], [858.5449829101562, 268.3354187011719, 891.9022216796875, 288.3023681640625], [858.5449829101562, 268.3354187011719, 891.9022216796875, 288.3023681640625], [847.2852172851562, 268.15142822265625, 879.994140625, 287.5618591308594], [847.2852172851562, 268.15142822265625, 879.994140625, 287.5618591308594], [847.2852172851562, 268.15142822265625, 879.994140625, 287.5618591308594], [834.9498901367188, 267.0173645019531, 867.0343017578125, 285.5546875], [834.9498901367188, 267.0173645019531, 867.0343017578125, 285.5546875], [834.9498901367188, 267.0173645019531, 867.0343017578125, 285.5546875], [834.9498901367188, 267.0173645019531, 867.0343017578125, 285.5546875], [834.9498901367188, 267.0173645019531, 867.0343017578125, 285.5546875], [820.2625122070312, 263.0367431640625, 850.6278076171875, 281.7377014160156], [820.2625122070312, 263.0367431640625, 850.6278076171875, 281.7377014160156], [812.3512573242188, 260.60009765625, 842.8633422851562, 280.06134033203125], [812.3512573242188, 260.60009765625, 842.8633422851562, 280.06134033203125], [812.3512573242188, 260.60009765625, 842.8633422851562, 280.06134033203125]]"
7,"[[25.833410263061523, 166.515380859375, 65.5942153930664, 200.7021942138672], [25.833410263061523, 166.515380859375, 65.5942153930664, 200.7021942138672], [25.833410263061523, 166.515380859375, 65.5942153930664, 200.7021942138672]]"
8,"[[64.36089324951172, 247.04811096191406, 72.54075622558594, 272.12890625], [64.36089324951172, 247.04811096191406, 72.54075622558594, 272.12890625]]"
9,"[[780.5316772460938, 258.0881652832031, 808.1876831054688, 276.74066162109375], [780.5316772460938, 258.0881652832031, 808.1876831054688, 276.74066162109375], [770.3890380859375, 253.5272216796875, 798.9935913085938, 271.54962158203125], [770.3890380859375, 253.5272216796875, 798.9935913085938, 271.54962158203125], [770.3890380859375, 253.5272216796875, 798.9935913085938, 271.54962158203125], [770.3890380859375, 253.5272216796875, 798.9935913085938, 271.54962158203125], [760.8826293945312, 249.26324462890625, 789.5411987304688, 268.1996154785156], [760.8826293945312, 249.26324462890625, 789.5411987304688, 268.1996154785156]]"
